area,machineNo,gaugeId,certificateNo,gaugeDescription,range,workRange,lc,errorPercent,calibrationDate,dueDate,error %,certificateFileName
CA4,CA4M28,CA4M28-PG02,VI/25-26/4650-122,SHUTTER DOOR,0-0.4 MPA,0.1-0.2 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,CA4M28-PG02.pdf
CA4,CA4M28,CA4M28-PG03,VI/25-26/4650-123,FRL UNIT,0-1 MPA,0.4-0.6 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,CA4M28-PG03.pdf
CA4,CA4M28,CA4M28-PG04,VI/25-26/4650-124,LUBRICATION,0-5 MPA,2-3 MPA,0.11,0.2 MPA,27-12-2025,28-12-2026,0.002,CA4M28-PG04.pdf
CA4,CA4M04,CA4M04-PG004,VI/25-26/4650-204,COOLANT,0-1 MPA,2-5 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M05,CA4M05-PG005,VI/25-26/4650-205,HYDRAULIC UNIT,0-5 MPA,1-3 MPA,0.11,0.2 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M06,CA4M06-PG006,VI/25-26/4650-206,HYDRAULIC UNIT,0-5 MPA,2-5 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M07,CA4M07-PG007,VI/25-26/4650-207,COOLANT,0-5 MPA,1-3 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M08,CA4M08-PG008,VI/25-26/4650-208,AIR PRESSURE,0-10 MPA,0.4-0.6 MPA,0.11,0.1 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M09,CA4M09-PG009,VI/25-26/4650-209,COOLANT,0-1 MPA,2-5 MPA,0.11,0.2 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M10,CA4M10-PG010,VI/25-26/4650-210,COOLANT,0-5 MPA,1-3 MPA,0.11,0.1 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M11,CA4M11-PG011,VI/25-26/4650-211,AIR PRESSURE,0-5 MPA,0.4-0.6 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M12,CA4M12-PG012,VI/25-26/4650-212,LUBRICATION,0-5 MPA,2-5 MPA,0.11,0.2 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M13,CA4M13-PG013,VI/25-26/4650-213,COOLANT,0-10 MPA,0.4-0.6 MPA,0.11,0.1 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M14,CA4M14-PG014,VI/25-26/4650-214,HYDRAULIC UNIT,0-5 MPA,1-3 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M15,CA4M15-PG015,VI/25-26/4650-215,HYDRAULIC UNIT,0-10 MPA,2-5 MPA,0.11,0.1 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M16,CA4M16-PG016,VI/25-26/4650-216,HYDRAULIC UNIT,0-10 MPA,1-3 MPA,0.11,0.1 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M17,CA4M17-PG017,VI/25-26/4650-217,LUBRICATION,0-5 MPA,0.4-0.6 MPA,0.11,0.05 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M18,CA4M18-PG018,VI/25-26/4650-218,LUBRICATION,0-5 MPA,0.4-0.6 MPA,0.11,0.1 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M19,CA4M19-PG019,VI/25-26/4650-219,LUBRICATION,0-1 MPA,0.4-0.6 MPA,0.11,0.2 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M20,CA4M20-PG020,VI/25-26/4650-220,HYDRAULIC UNIT,0-10 MPA,0.4-0.6 MPA,0.11,0.2 MPA,27-12-2025,28-12-2026,0.002,
CA4,CA4M21,CA4M21-PG021,VI/25-26/4650-221,HYDRAULIC UNIT,0-10 MPA,1-3 MPA,0.11,0.1 MPA,27-12-2025,28-12-2026,0.002,
